A5A616	mgtS	b4599	Small protein MgtS
P0A6C8	argB	b3959	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
P0A6D0	argR	b3237	Arginine repressor
P0A6D3	aroA	b0908	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
P0A6D7	aroK	b3390	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)
P0A6E1	aroL	b0388	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)
P0A6E4	argG	b3172	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
P0A6E6	atpC	b3731	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)
P0A6F1	carA	b0032	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)
P0A6F3	glpK	b3926	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)
P0A6F5	groEL	b4143	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein)
P0A6F9	groES	b4142	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)
P0A6G7	clpP	b0437	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)
P0A6H1	clpX	b0438	ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX)
P0A6H5	hslU	b3931	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)
P0A6H8	clsA	b1249	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)
P0A6I0	cmk	b0910	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)
P0A6I6	coaD	b3634	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
P0A6J3	cysZ	b2413	Sulfate transporter CysZ
P0A6J5	dadA	b1189	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)
P0A6K1	dapF	b3809	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)
P0A6K3	def	b3287	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)
P0A6K6	deoB	b4383	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase) (Phosphoribomutase)
P0A6L0	deoC	b4381	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
P0A6L2	dapA	b2478	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
P0A6L4	nanA	b3225	N-acetylneuraminate lyase (AcNeu lyase) (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)
P0A6M2	dsbB	b1185	Disulfide bond formation protein B (Disulfide oxidoreductase)
P0A6M4	dtd	b3887	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl RNA deacylase) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase)
P0A6M8	fusA	b3340	Elongation factor G (EF-G) (EC 3.6.5.-)
P0A6N4	efp	b4147	Elongation factor P (EF-P)
P0A6P1	tsf	b0170	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)
P0A6P5	der	b2511	GTPase Der (Double era-like domain protein) (GTP-binding protein EngA)
P0A6P9	eno	b2779	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
P0A6Q3	fabA	b0954	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)
P0A6Q6	fabZ	b0180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)
P0A6R0	fabH	b1091	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (EcFabH)
P0A6R3	fis	b3261	DNA-binding protein Fis (Factor-for-inversion stimulation protein) (Hin recombinational enhancer-binding protein)
P0A6S5	ftsB	b2748	Cell division protein FtsB
P0A6S7	gpsA	b3608	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)(+)-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)
P0A6T1	pgi	b4025	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P0A6T3	galK	b0757	Galactokinase (EC 2.7.1.6) (Galactose kinase)
P0A6T5	folE	b2153	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
P0A6U3	mnmG	b3741	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)
P0A6U5	rsmG	b3740	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)
P0A6V1	glgC	b3430	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)
P0A6W3	mraY	b0087	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
P0A6X1	hemA	b1210	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
P0A6X3	hfq	b4172	RNA-binding protein Hfq (HF-1) (Host factor-I protein) (HF-I)
P0A6X7	ihfA	b1712	Integration host factor subunit alpha (IHF-alpha)
P0A6Y1	ihfB	b0912	Integration host factor subunit beta (IHF-beta)
P0A6Y5	hslO	b3401	33 kDa chaperonin (Heat shock protein 33) (HSP33)
P0A6Y8	dnaK	b0014	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
P0A6Z1	hscA	b2526	Chaperone protein HscA (Hsc66)
P0A6Z3	htpG	b0473	Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G)
P0A6Z6	nikR	b3481	Nickel-responsive regulator
P0A700	hypA	b2726	Hydrogenase maturation factor HypA
P0A703	hybF	b2991	Hydrogenase maturation factor HybF (Hydrogenase nickel incorporation protein HybF) (Hydrogenase-2 operon protein HybF)
P0A705	infB	b3168	Translation initiation factor IF-2
P0A707	infC	b1718	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]
P0A710	yciB	b1254	Inner membrane-spanning protein YciB
P0A712	kdgT	b3909	2-keto-3-deoxygluconate permease (KDG permease) (3-deoxy-2-oxo-D-gluconate-transport system)
P0A715	kdsA	b1215	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)
P0A717	prs	b1207	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)
P0A720	tmk	b1098	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)
P0A725	lpxC	b0096	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)
P0A729	yceF	b1087	7-methyl-GTP pyrophosphatase (m(7)GTP pyrophosphatase) (EC 3.6.1.-)
P0A731	mgsA	b0963	Methylglyoxal synthase (MGS) (EC 4.2.3.3)
P0A738	moaC	b0783	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)
P0A742	mscL	b3291	Large-conductance mechanosensitive channel
P0A744	msrA	b4219	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
P0A746	msrB	b1778	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
P0A749	murA	b3189	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)
P0A754	kefF	b0046	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)
P0A759	nagB	b0678	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)
P0A763	ndk	b2518	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
P0A769	mntH	b2392	Divalent metal cation transporter MntH
P0A776	rppH	b2830	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase) (Ap5A pyrophosphatase)
P0A784	orn	b4162	Oligoribonuclease (EC 3.1.15.-)
P0A786	pyrB	b4245	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P0A790	panD	b0131	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
P0A794	pdxJ	b2564	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)
P0A796	pfkA	b3916	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase)
P0A799	pgk	b2926	Phosphoglycerate kinase (EC 2.7.2.3)
P0A7A7	plsB	b4041	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)
P0A7A9	ppa	b4226	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
P0A7B1	ppk	b2501	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)
P0A7B3	nadK	b2615	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)
P0A7B5	proB	b0242	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)
P0A7B8	hslV	b3932	ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV)
P0A7C2	lexA	b4043	LexA repressor (EC 3.4.21.88)
P0A7D4	purA	b4177	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
P0A7E1	pyrD	b0945	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)
P0A7E3	pyrE	b3642	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
P0A7E5	pyrG	b2780	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)
P0A7E9	pyrH	b0171	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
P0A7F6	speD	b0120	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]
P0A7F9	queA	b0405	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)
P0A7G2	rbfA	b3167	30S ribosome-binding factor (Protein P15B) (Ribosome-binding factor A) (RbfA)
P0A7G6	recA	b2699	Protein RecA (Recombinase A)
P0A7I4	prfC	b4375	Peptide chain release factor RF3 (RF-3)
P0A7I7	ribA	b1277	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)
P0A7J0	ribB	b3041	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DHBPS) (EC 4.1.99.12)
P0A7J3	rplJ	b3985	Large ribosomal subunit protein uL10 (50S ribosomal protein L10) (50S ribosomal protein L8)
P0A7J7	rplK	b3983	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)
P0A7K2	rplL	b3986	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (L8)
P0A7K6	rplS	b2606	Large ribosomal subunit protein bL19 (50S ribosomal protein L19)
P0A7L0	rplA	b3984	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)
P0A7L3	rplT	b1716	Large ribosomal subunit protein bL20 (50S ribosomal protein L20)
P0A7L8	rpmA	b3185	Large ribosomal subunit protein bL27 (50S ribosomal protein L27)
P0A7M2	rpmB	b3637	Large ribosomal subunit protein bL28 (50S ribosomal protein L28)
P0A7M6	rpmC	b3312	Large ribosomal subunit protein uL29 (50S ribosomal protein L29)
P0A7M9	rpmE	b3936	Large ribosomal subunit protein bL31 (50S ribosomal protein L31)
P0A7N4	rpmF	b1089	Large ribosomal subunit protein bL32 (50S ribosomal protein L32)
P0A7N9	rpmG	b3636	Large ribosomal subunit protein bL33 (50S ribosomal protein L33)
P0A7R1	rplI	b4203	Large ribosomal subunit protein bL9 (50S ribosomal protein L9)
P0A7R5	rpsJ	b3321	Small ribosomal subunit protein uS10 (30S ribosomal protein S10) (Transcription termination/antitermination protein NusE)
P0A7R9	rpsK	b3297	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)
P0A7S3	rpsL	b3342	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)
P0A7S9	rpsM	b3298	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)
P0A7T3	rpsP	b2609	Small ribosomal subunit protein bS16 (30S ribosomal protein S16)
P0A7T7	rpsR	b4202	Small ribosomal subunit protein bS18 (30S ribosomal protein S18)
P0A7U3	rpsS	b3316	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
P0A7U7	rpsT	b0023	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)
P0A7V0	rpsB	b0169	Small ribosomal subunit protein uS2 (30S ribosomal protein S2)
P0A7V3	rpsC	b3314	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)
P0A7V8	rpsD	b3296	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)
P0A7W1	rpsE	b3303	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)
P0A7W7	rpsH	b3306	Small ribosomal subunit protein uS8 (30S ribosomal protein S8)
P0A7X3	rpsI	b3230	Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
P0A7X6	rimM	b2608	Ribosome maturation factor RimM (21K)
P0A7Y0	rnc	b2567	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)
P0A7Y4	rnhA	b0214	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)
P0A7Z0	rpiA	b2914	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
P0A7Z4	rpoA	b3295	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
P0A800	rpoZ	b3649	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
P0A809	ruvA	b1861	Holliday junction branch migration complex subunit RuvA
P0A812	ruvB	b1860	Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)
P0A814	ruvC	b1863	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction endonuclease RuvC) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
P0A817	metK	b2942	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)
P0A821	selA	b3591	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)
P0A825	glyA	b2551	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
P0A830	dctA	b3528	Aerobic C4-dicarboxylate transport protein
P0A832	smpB	b2620	SsrA-binding protein (Small protein B)
P0A836	sucC	b0728	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)
P0A840	surE	b2744	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)
P0A847	tgt	b0406	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)
P0A850	tig	b0436	Trigger factor (TF) (EC 5.2.1.8) (PPIase)
P0A853	tnaA	b3708	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)
P0A855	tolB	b0740	Tol-Pal system protein TolB
P0A858	tpiA	b3919	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)
P0A862	tpx	b1324	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)
P0A870	talB	b0008	Transaldolase B (EC 2.2.1.2)
P0A873	trmD	b2607	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
P0A879	trpB	b1261	Tryptophan synthase beta chain (EC 4.2.1.20)
P0A884	thyA	b2827	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
P0A887	ubiE	b3833	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)
P0A890	tusA	b3470	Sulfur carrier protein TusA (Sulfur mediator TusA) (Sulfur transfer protein TusA) (tRNA 2-thiouridine synthesizing protein A)
P0A894	rapZ	b3205	RNase adapter protein RapZ
P0A898	ybeY	b0659	Endoribonuclease YbeY (EC 3.1.-.-)
P0A8D6	ymdB	b1045	O-acetyl-ADP-ribose deacetylase (EC 3.1.1.106) (Regulator of RNase III activity)
P0A8F0	upp	b2498	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)
P0A8F8	uvrB	b0779	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)
P0A8G0	uvrC	b1913	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)
P0A8G6	wrbA	b1004	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)
P0A8G9	xseB	b0422	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (ExoVII small subunit) (Exonuclease VII small subunit)
P0A8H3	zupT	b3040	Zinc transporter ZupT (Divalent metal ion transporter ZupT) (Zinc uptake transporter)
P0A8H6	yihI	b3866	Der GTPase-activating protein YihI (GAP)
P0A8I1	yqgF	b2949	Putative pre-16S rRNA nuclease (EC 3.1.-.-)
P0A8I5	trmB	b2960	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)
P0A8I8	rlmH	b0636	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
P0A8J2	dnaT	b4362	Primosomal protein 1 (Primosomal protein I)
P0A8J8	rhlB	b3780	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)
P0A8K1	psd	b4160	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]
P0A8L1	serS	b0893	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
P0A8M0	asnS	b0930	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)
P0A8M3	thrS	b1719	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)
P0A8N0	matP	b0956	Macrodomain Ter protein
P0A8N3	lysS	b2890	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
P0A8N5	lysU	b4129	Lysine--tRNA ligase, heat inducible (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
P0A8N7	epmA	b4155	Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.1.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase) (GX)
P0A8P6	xerC	b3811	Tyrosine recombinase XerC
P0A8P8	xerD	b2894	Tyrosine recombinase XerD
P0A8Q0	frdC	b4152	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein) (Quinol-fumarate reductase subunit C) (QFR subunit C)
P0A8Q3	frdD	b4151	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein) (Quinol-fumarate reductase subunit D) (QFR subunit D)
P0A8R0	rraA	b3929	Regulator of ribonuclease activity A
P0A8S1	argP	b2916	HTH-type transcriptional regulator ArgP (Inhibitor of chromosome initiation) (OriC replication inhibitor)
P0A8S9	flhD	b1892	Flagellar transcriptional regulator FlhD
P0A8T7	rpoC	b3988	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')
P0A8V0	rbn	b2268	Ribonuclease BN (RNase BN) (EC 3.1.-.-) (Ribonuclease Z homolog) (RNase Z homolog)
P0A8V2	rpoB	b3987	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)
P0A8V6	fadR	b1187	Fatty acid metabolism regulator protein
P0A8W0	nanR	b3226	HTH-type transcriptional repressor NanR
P0A8Y1	yjjG	b4374	Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5) (House-cleaning nucleotidase) (Non-canonical pyrimidine nucleotide phosphatase) (Nucleoside 5'-monophosphate phosphohydrolase) (dUMP phosphatase)
P0A8Y3	yihX	b3885	Alpha-D-glucose 1-phosphate phosphatase YihX (Alpha-D-glucose-1-P phosphatase) (EC 3.1.3.10) (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4) (HAD4)
P0A8Y5	yidA	b3697	Sugar phosphatase YidA (EC 3.1.3.23)
P0A8Y8	entH	b0597	Proofreading thioesterase EntH (EC 3.1.2.-) (Enterobactin synthase component H) (p15)
